veryneg:0	neg:13	pos:1	verypos:1	article1	http://www.latimes.com/business/la-fi-citi-bailout9-2010apr09,0,3260780.story	Two former Citigroup executives apologize for crisis and bailout - latimes.com	Apr 8, 2010
veryneg:0	neg:2	pos:9	verypos:0	article12	http://ca.sys-con.com/node/1344105	BedfordReport.com: Complimentary Analyst Research on Citigroup, Inc. (NYSE: C), Sirius XM Radio, Inc. (Nasdaq: SIRI), Motorola, Inc. (NYSE: MOT), Microsoft Corp. (Nasdaq: MSFT) and Many More  | SYS-CON CANADA	Apr 5, 2010
veryneg:0	neg:0	pos:0	verypos:0	article13	http://www.twst.com/yagoo/NashONE.html	Company Interview: Citizens Republic Bancorp, Inc. - Cathleen H. Nash, President And CEO	Apr 5, 2010
veryneg:0	neg:5	pos:3	verypos:5	article14	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100405133400	Business & Financial News, Breaking US & International News | Reuters.com	Apr 5, 2010
veryneg:0	neg:2	pos:0	verypos:0	article15	http://www.emailwire.com/release/37701-Top-financial-Stocks-in-Focus-Citigroup-BAC-WFC-JPM-AIG.html	Top financial Stocks in Focus: Citigroup, BAC, WFC, JPM, AIG	Apr 5, 2010
veryneg:1	neg:1	pos:1	verypos:0	article16	http://www.americanbankingnews.com/2010/04/03/blackrock-nyse-blk-downgraded-by-citigroup-nyse-c-and-deutsche-bank/	BlackRock (NYSE: BLK) Downgraded by Citigroup (NYSE: C) and Deutsche Bank - American Banking News	Apr 3, 2010
veryneg:0	neg:0	pos:2	verypos:0	article17	http://www.americanbankingnews.com/2010/04/03/citigroup-nyse-c-offering-of-primerica-nyse-pri-brings-in-320-4-million-in-revenue/	Citigroup (NYSE: C) Offering of Primerica (NYSE: PRI) Brings in $320.4 Million in Revenue - American Banking News	Apr 3, 2010
veryneg:0	neg:2	pos:2	verypos:0	article18	http://www.istockanalyst.com/mobile/viewarticle.aspx?articleid=3997092	Wall Street Ends Up On Economic Optimism, Citigroup (NYSE: C) Soars | iStockAnalyst.com	Apr 1, 2010
veryneg:1	neg:1	pos:1	verypos:1	article19	http://www.marketnewsvideo.com/?id=201004Downgrades040110&mv=1	Downgrades:  DWA, BLK, RIMM | Market News Video	Apr 1, 2010
veryneg:1	neg:6	pos:7	verypos:1	article20	http://www.americanbankingnews.com/2010/04/01/morgan-stanley-nyse-ms-to-win-big-in-government-sale-of-citigroup-nyse-c-shares/	Morgan Stanley (NYSE: MS) To Win Big in Government Sale of Citigroup (NYSE: C) Shares - American Banking News	Apr 1, 2010
veryneg:1	neg:2	pos:1	verypos:0	article21	http://www.financialpost.com/story.html?id=2751127	Mexican bonds win entry to key Citigroup index	Apr 1, 2010
veryneg:0	neg:5	pos:3	verypos:5	article22	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100401013500	Business & Financial News, Breaking US & International News | Reuters.com	Apr 1, 2010
veryneg:0	neg:0	pos:0	verypos:0	article23	http://jutiagroup.com/2010/03/31/stock-market-news-citigroup-nysec-apple-nasdaqaapl-research-in-motion-nasdaqrimm-jos-a-bank-clothiers-nasdaqjosb-american-international-group-nyseaig/	Stock Market News: Citigroup (NYSE:C), Apple (NASDAQ:AAPL), Research in Motion (NASDAQ:RIMM), JoS. A. Bank Clothiers (NASDAQ:JOSB), American International Group (NYSE:AIG)    | Jutia Group	Mar 31, 2010
veryneg:0	neg:2	pos:0	verypos:0	article24	http://www.istockanalyst.com/article/viewarticle/articleid/3990966	Business real estate loans at issue	Mar 31, 2010
veryneg:0	neg:5	pos:3	verypos:5	article25	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100331105500	Business & Financial News, Breaking US & International News | Reuters.com	Mar 31, 2010
veryneg:0	neg:0	pos:0	verypos:1	article26	http://www.businesswire.com/news/home/20100331007103/en	Citi Announces $320.4 Million Initial Public Offering of Primerica | Business Wire	Mar 30, 2010
veryneg:0	neg:5	pos:3	verypos:0	article27	http://www.marketwatch.com/story/financials-trade-mostly-flat-as-market-awaits-data-2010-03-30?reflink=MW_news_stmp	Weak financials cap market's rise, Citi falls Financial Stocks - MarketWatch	Mar 30, 2010
veryneg:0	neg:1	pos:1	verypos:0	article28	http://www.smartmoney.com/Investing/ETFs/Steady-Rise-for-Stocks-and-ETFs	Steady Rise for Stocks and ETFs - Investing - ETFs - SmartMoney.com	Mar 30, 2010
veryneg:0	neg:1	pos:2	verypos:0	article29	http://www.tradingmarkets.com/news/stock-alert/bidu_c_f_sug_bedfordreport-com-complimentary-analyst-research-on-citigroup-inc-nyse-c-baidu-inc-nasdaq-878383.html	Bedfordreport.com: Complimentary Analyst Research on Citigroup, Inc.(NYSE: C), Baidu, Inc. (NASDAQ: BIDU), Ford Motor Co. (NYS  | TradingMarkets.com	Mar 29, 2010
veryneg:0	neg:4	pos:3	verypos:0	article30	http://www.marketwatch.com/story/citigroup-shares-slip-as-trading-volume-soars-2010-03-29	CORRECT:Citigroup shares slip as volume soars - MarketWatch	Mar 29, 2010
veryneg:0	neg:1	pos:0	verypos:0	article31	http://www.istockanalyst.com/article/viewarticle/articleid/3983093	Stocks rise after increase in consumer spending	Mar 29, 2010
veryneg:0	neg:5	pos:3	verypos:5	article32	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100329132500	Business & Financial News, Breaking US & International News | Reuters.com	Mar 29, 2010
veryneg:0	neg:3	pos:2	verypos:0	article33	http://www.marketwatch.com/story/treasury-plans-to-sell-77-bln-citi-shares-in-2010-2010-03-29?dist=countdown	Treasury plans to sell 7.7 bln Citi shares in 2010 - MarketWatch	Mar 29, 2010
veryneg:0	neg:5	pos:3	verypos:5	article34	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100329080000	Business & Financial News, Breaking US & International News | Reuters.com	Mar 29, 2010
veryneg:1	neg:4	pos:6	verypos:0	article35	http://www.americanbankingnews.com/2010/03/27/will-an-immediate-sale-of-citigroup-nyse-c-stock-from-the-u-s-treasury-shortchange-taxpayers/	Will an Immediate Sale of Citigroup (NYSE: C) Stock from the U.S. Treasury Shortchange Taxpayers? - American Banking News	Mar 27, 2010
veryneg:0	neg:3	pos:3	verypos:0	article36	http://www.huliq.com/3257/92232/citigroup-bailout-net-us-8-billion	Citigroup Bailout to Net U.S. $8 Billion | HULIQ	Mar 27, 2010
veryneg:0	neg:2	pos:6	verypos:0	article37	http://www.americanbankingnews.com/2010/03/26/u-s-treasury-may-make-8-billion-on-citigroup-investment-nyse-c/	U.S. Treasury May Make $8 Billion on Citigroup Investment (NYSE: C) - American Banking News	Mar 27, 2010
veryneg:0	neg:0	pos:2	verypos:0	article38	http://www.tradingmarkets.com/news/stock-alert/bac_c_fbc_thestockalarm-investment-stock-report-tracks-must-watch-stocks-citigroup-inc-flagstar-bancorp-inc-874929.html	TheStockAlarm Investment Stock Report Tracks Must Watch Stocks: Citigroup Inc., Flagstar Bancorp Inc., Consol Energy Inc., Bank   | TradingMarkets.com	Mar 26, 2010
veryneg:0	neg:1	pos:2	verypos:0	article39	http://www.emailwire.com/release/37083-US-Markets-Most-Volatile-Stock-Movers-Citigroup-BBY-CAG-SIG-MKC.html	US Market's Most Volatile Stock Movers (Citigroup, BBY, CAG, SIG, MKC)	Mar 25, 2010
veryneg:0	neg:2	pos:0	verypos:0	article40	http://www.foxbusiness.com/story/markets/industries/finance/mexico-bank-assoc-forecasts--loan-growth/	Mexico Bank Assoc Forecasts 10% Loan Growth In 2010 - FOXBusiness.com	Mar 25, 2010
veryneg:0	neg:3	pos:0	verypos:0	article41	http://www.foxbusiness.com/story/markets/industries/finance/financial-stocks-rise-bernanke-comments-jobless-data/	Financial Stocks Rise On Bernanke Comments, Jobless Data - FOXBusiness.com	Mar 25, 2010
veryneg:0	neg:0	pos:1	verypos:0	article42	http://www.sun-sentinel.com/business/fl-mortgage-aid-20100325,0,4398909.story	Loan modification program: Obama officials to announce changes in loan relief plan - South Florida Sun-Sentinel.com	Mar 25, 2010
veryneg:0	neg:1	pos:8	verypos:0	article43	http://www.marketwatch.com/story/financial-stocks-poised-to-run-the-table-this-week-2010-03-26?reflink=MW_news_stmp	Bank, insurer stocks fuel sector's 2% gain on week Financial Stocks - MarketWatch	Mar 25, 2010
veryneg:0	neg:1	pos:3	verypos:0	article44	http://www.marketwatch.com/story/treasury-planning-to-sell-citi-stake-report-2010-03-25	Treasury planning to sell Citi stake: report - MarketWatch	Mar 25, 2010
veryneg:0	neg:5	pos:3	verypos:5	article45	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100325074400	Business & Financial News, Breaking US & International News | Reuters.com	Mar 25, 2010
veryneg:0	neg:0	pos:0	verypos:0	article46	http://www.tradingmarkets.com/stocks/commentary/tradingmarkets-7-stocks-you-need-to-know-for-friday-873146.html	TradingMarkets 7 Stocks You Need to Know for Friday  | TradingMarkets.com	Mar 24, 2010
veryneg:0	neg:5	pos:3	verypos:5	article47	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100324204300	Business & Financial News, Breaking US & International News | Reuters.com	Mar 24, 2010
veryneg:0	neg:0	pos:2	verypos:0	article48	http://www.sun-sentinel.com/business/fl-loan-modification-20100324,0,2935434.story	Loan modification: Bank of America to start reducing principal for trouble mortgage borrowers - South Florida Sun-Sentinel.com	Mar 24, 2010
veryneg:0	neg:1	pos:0	verypos:0	article50	http://www.mysmartrend.com/nw/20465	Stock Watch | Latest Stock Market News	Mar 24, 2010
veryneg:0	neg:0	pos:2	verypos:0	article51	http://www.americanbankingnews.com/2010/03/25/deutsche-telecom-nyse-dt-appoints-citigroup-nyse-c-as-corporate-broker-in-britain/	Deutsche Telecom (NYSE: DT) Appoints Citigroup (NYSE: C) as Corporate Broker in Britain - American Banking News	Mar 24, 2010
veryneg:0	neg:0	pos:3	verypos:0	article52	http://www.businesswire.com/news/home/20100325005420/en	Citi Expands Efforts to Keep Families in Their Homes With Commitment to Second-Lien Program | Business Wire	Mar 24, 2010
veryneg:0	neg:2	pos:0	verypos:0	article53	http://www.americanbankingnews.com/2010/03/24/citigroup-nyse-c-maintains-buy-rating-on-accenture-ltd-nyse-acn-lowers-earnings-estimates/	Citigroup (NYSE: C) Maintains Buy Rating on Accenture Ltd (NYSE: ACN), Lowers Earnings Estimates - American Banking News	Mar 24, 2010
veryneg:0	neg:2	pos:4	verypos:0	article54	http://www.businesswire.com/news/home/20100323006682/en	Citi Recognized for Superior Mutual Fund Service by National Quality Review | Business Wire	Mar 23, 2010
veryneg:0	neg:0	pos:0	verypos:0	article55	http://www.tradingmarkets.com/news/press-release/c_citi-first-quarter-2010-fixed-income-investor-review-863028.html	Citi First Quarter 2010 Fixed Income Investor Review  | TradingMarkets.com	Mar 22, 2010
veryneg:0	neg:7	pos:3	verypos:1	article57	http://uk.ub-news.com/citigroup-williams-sonoma-tiffany-aig-kimberly-clark-and-credit-suisse-stk-future-mixed-before-the-bell-27189.html	Citigroup, Williams-Sonoma, Tiffany, AIG, Kimberly-Clark and Credit Suisse Stk Future Mixed Before the Bell | Ub News	Mar 22, 2010
veryneg:0	neg:0	pos:1	verypos:1	article58	http://www.streetinsider.com/Insiders+Blog/Dick+Bove+Officially+Moves+to+Buy+Rating+On+Citigroup+(C)/5458205.html	StreetInsider.com - Dick Bove Officially Moves to 'Buy' Rating On Citigroup (C)	Mar 22, 2010
veryneg:0	neg:3	pos:6	verypos:0	article59	http://www.marketwatch.com/story/e-trade-shares-fall-after-broker-names-new-ceo-2010-03-22?reflink=MW_news_stmp	E-Trade names CEO; Citi gains on analyst upgrade Financial Stocks - MarketWatch	Mar 22, 2010
veryneg:0	neg:1	pos:0	verypos:0	article60	http://www.benzinga.com/markets/company-news/184590/citigroup-inc-c-set-to-double-team-assisting-institutional-investment-in	Citigroup, Inc. (C) Set To Double Team Assisting Institutional Investment In Hedge Funds  | Benzinga.com	Mar 22, 2010
veryneg:0	neg:0	pos:0	verypos:0	article61	http://www.emailwire.com/release/36698--Chartpopperscom-releases-a-Investment-Overview-on-Citigroup-Inc.html	Chartpoppers.com releases a Investment Overview on Citigroup Inc.	Mar 22, 2010
veryneg:0	neg:7	pos:3	verypos:2	article62	http://www.financialadvisory.com/article/19-03-2010/779/citigroup-(nyse-c)-changes-mind-on-scaling-down-mortgage-business/	Citigroup (NYSE:C) Changes Mind on Scaling Down Mortgage Business	Mar 19, 2010
veryneg:0	neg:1	pos:1	verypos:0	article63	http://www.americanbankingnews.com/2010/03/19/citigroup-nyse-c-reiterates-buy-rating-on-consolidated-edison-nyse-ed/	Citigroup (NYSE: C) Reiterates Buy Rating on Consolidated Edison (NYSE: ED) - American Banking News	Mar 19, 2010
veryneg:0	neg:1	pos:0	verypos:0	article64	http://jutiagroup.com/2010/03/19/stock-market-update-citigroup-nysec-palm-nasdaqpalm-apple-nasdaqaapl-google-nasdaqgoog-jpmorgan-chase-nysejpm/	Stock Market Update: Citigroup (NYSE:C), Palm (NASDAQ:PALM), Apple (NASDAQ:AAPL), Google (NASDAQ:GOOG), JPMorgan Chase (NYSE:JPM)    | Jutia Group	Mar 19, 2010
veryneg:0	neg:0	pos:2	verypos:0	article65	http://www.americanbankingnews.com/2010/03/18/citibank-nyse-c-raises-price-target-on-emdeon-nyse-em-maintains-hold-rating/	Citibank (NYSE: C) Raises Price Target on Emdeon (NYSE: EM), Maintains Hold Rating - American Banking News	Mar 18, 2010
veryneg:0	neg:1	pos:1	verypos:0	article66	http://www.americanbankingnews.com/2010/03/18/u-s-government-may-sell-citigroup-shares-after-april-19th-nyse-c/	U.S. Government May Sell Citigroup Shares after April 19th (NYSE: C) - American Banking News	Mar 18, 2010
veryneg:0	neg:1	pos:1	verypos:0	article67	http://www.onn.tv/trading-ideas/citigroup-inc-nyse-c-cash-secured-put/	Citigroup Inc. (NYSE: C) cash-secured put | ONN.tv	Mar 18, 2010
veryneg:0	neg:1	pos:3	verypos:0	article68	http://www.americanbankingnews.com/2010/03/18/citibank-nyse-c-cuts-outlook-on-worldwide-financials-sector-to-neutral/	Citibank (NYSE: C) Cuts Outlook on Worldwide Financials Sector to Neutral - American Banking News	Mar 18, 2010
veryneg:0	neg:0	pos:0	verypos:0	article69	http://www.emailwire.com/release/36445-Chartpopperscom-releases-an-Investment-Overview-on-Citigroup-Inc.html	Chartpoppers.com releases an Investment Overview on Citigroup Inc.	Mar 18, 2010
veryneg:0	neg:2	pos:2	verypos:2	article70	http://www.benzinga.com/179438/citigroup-looks-to-book-profits-in-the-hot-earning-etf-market	Citigroup Looks To Book Profits In The Hot Earning ETF Market | Benzinga.com	Mar 17, 2010
veryneg:0	neg:1	pos:1	verypos:0	article71	http://www.tradingmarkets.com/news/press-release/c_cma_fitb_mi_sti_zacks-analyst-blog-highlights-citigroup-inc-fifth-third-bancorp-suntrust-banks-inc-comerica-in-853832.html	Zacks Analyst Blog Highlights: Citigroup Inc., Fifth Third Bancorp, Suntrust Banks Inc., Comerica Inc. and Marshall &amp;amp; Ilsley  | TradingMarkets.com	Mar 17, 2010
veryneg:0	neg:3	pos:2	verypos:0	article72	http://www.businesswire.com/news/home/20100317006253/en	Zacks Analyst Blog Highlights: Fannie Mae, Freddie Mac, GMAC Inc., Citigroup Inc. and American International Group Inc. | Business Wire	Mar 17, 2010
veryneg:0	neg:0	pos:1	verypos:0	article73	http://www.foxbusiness.com/story/markets/treasury-free-begin-selling-citi-shares-b-unrealized-profit-holdings-analysts/	Treasury Free to Begin Selling Citi Shares; Has $6.2B Unrealized Profit on Holdings, Analysts Say - FOXBusiness.com	Mar 17, 2010
veryneg:0	neg:1	pos:1	verypos:0	article74	http://www.americanbankingnews.com/2010/03/17/citibank-to-introduce-more-debt-and-equity-products-in-bangladesh-nyse-c/	Citibank to Introduce More Debt and Equity Products in Bangladesh (NYSE: C) - American Banking News	Mar 17, 2010
veryneg:0	neg:5	pos:3	verypos:5	article75	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100317153400	Business & Financial News, Breaking US & International News | Reuters.com	Mar 17, 2010
veryneg:0	neg:0	pos:0	verypos:1	article76	http://jutiagroup.com/2010/03/17/market-news-citigroup-nysec-cit-group-nysecit-google-nasdaqgoog-apple-nasdaqaapl-bank-of-america-nysebac/	Market News: Citigroup (NYSE:C), CIT Group (NYSE:CIT), Google (NASDAQ:GOOG), Apple (NASDAQ:AAPL), Bank of America (NYSE:BAC)  | Jutia Group	Mar 17, 2010
veryneg:0	neg:5	pos:11	verypos:2	article77	http://www.timesoftheinternet.com/briefs/citigroup-c-stock-looking-good-on-fed-decision/	Citigroup (C) Stock Looking Good On Fed Decision | News Briefs	Mar 17, 2010
veryneg:0	neg:0	pos:0	verypos:0	article78	http://www.investors.com/NewsAndAnalysis/Article.aspx?id=527696	Citi's Primerica unit files for IPO - IBD - Investors.com	Mar 17, 2010
veryneg:0	neg:2	pos:0	verypos:0	article79	http://www.istockanalyst.com/article/viewarticle/articleid/3954740	Contra Costa Times, Walnut Creek, Calif., Drew Voros column: Voros: Banks profit from U.S. debt rather than lending	Mar 17, 2010
veryneg:0	neg:0	pos:2	verypos:0	article80	http://oakshirefinancial.com/2010/03/16/market-news-update-general-electric-nysege-citibank-nysec-bank-of-america-nysebac-american-international-group-nyseaig/	Market News Update - General Electric (NYSE:GE), Citibank (NYSE:C), Bank of America (NYSE:BAC), American International Group (NYSE:AIG) | Oakshire Financial	Mar 16, 2010
veryneg:0	neg:1	pos:0	verypos:0	article81	http://www.businesswire.com/news/home/20100317006238/en	Zacks Analyst Blog Highlights: Citigroup Inc., Fifth Third Bancorp, Suntrust Banks Inc., Comerica Inc. and Marshall & Ilsley Corp. | Business Wire	Mar 16, 2010
veryneg:0	neg:0	pos:0	verypos:1	article82	http://www.americanbankingnews.com/2010/03/15/citigroup-to-pay-520-million-to-increase-share-in-chilean-bank-nyse-c/	Citigroup to Pay $520 Million to Increase Share in Chilean Bank (NYSE: C) - American Banking News	Mar 16, 2010
veryneg:0	neg:5	pos:3	verypos:5	article83	http://stocks.us.reuters.com/stocks/keyDevelopments.asp?rpc=66&symbol=C&timestamp=20100315210700	Business & Financial News, Breaking US & International News | Reuters.com	Mar 15, 2010
veryneg:0	neg:2	pos:0	verypos:0	article84	http://www.businesswire.com/news/home/20100315006295/en	Zacks Bull and Bear of the Day Highlights: Family Dollar, FTI Consulting, Wells Fargo, Citigroup and Starwood Hotels & Resorts Worldwide Inc. | Business Wire	Mar 15, 2010
veryneg:0	neg:0	pos:4	verypos:0	article85	http://wallstnation.com/citigroup-citi-nysec-03152010	Citigroup Shares: When to Sell? (C) | WallStNation.com	Mar 15, 2010
veryneg:0	neg:0	pos:2	verypos:0	article86	http://oakshirefinancial.com/2010/03/15/market-update-pepsi-nysepep-citibank-nysec-bank-of-america-nysebac-nike-nysenke/	Market Update: Pepsi (NYSE:PEP), Citibank (NYSE:C), Bank of America (NYSE:BAC), Nike (NYSE:NKE) | Oakshire Financial	Mar 15, 2010
veryneg:0	neg:0	pos:1	verypos:3	article87	http://www.americanbankingnews.com/2010/03/16/wal-mart-shares-rise-after-citigroup-upgrade-wmt-c/	Wal-Mart Shares Rise after Citigroup Upgrade (WMT, C) - American Banking News	Mar 15, 2010
veryneg:0	neg:1	pos:0	verypos:0	article88	http://www.tradingmarkets.com/news/press-release/aapl_attd_c_kcmh_market-pulse-breaking-news-alert-for-monday-march-15-2010-kcmh-kcm-holdings-corporation-report-845909.html	Market Pulse Breaking News Alert for Monday, March 15, 2010: KCMH -KCM Holdings Corporation Reports Record Earnings and Off To  | TradingMarkets.com	Mar 15, 2010
veryneg:0	neg:0	pos:3	verypos:0	article89	http://www.businesswire.com/news/home/20100315005887/en	Citi Establishes Investor Services Team Specializing in Exchange Traded Funds | Business Wire	Mar 15, 2010
veryneg:0	neg:2	pos:4	verypos:0	article90	http://www.americanbankingnews.com/2010/03/14/citibank-ceo-nyse-c-may-be-overly-optimistic-about-growth-potential/	Citibank CEO (NYSE: C) May Be Overly Optimistic about Growth Potential - American Banking News	Mar 14, 2010
veryneg:0	neg:0	pos:0	verypos:1	article91	http://www.smartmoney.com/Investing/ETFs/Flat-Week-Ends-for-ETFs-and-Stocks	Flat Week Ends for ETFs and Stocks - Investing - ETFs - SmartMoney.com	Mar 13, 2010
veryneg:0	neg:1	pos:2	verypos:0	article92	http://www.foxbusiness.com/story/markets/industries/market-snapshot-stocks-rangebound-financials-pull-155607941/	MARKET SNAPSHOT: Stocks Rangebound As Financials Pull Back - FOXBusiness.com	Mar 12, 2010
veryneg:0	neg:0	pos:0	verypos:0	article93	http://jutiagroup.com/2010/03/12/market-updates-jpmorgan-chase-nysejpm-citigroup-nysec-potash-corp-of-saskatchewan-nysepot-ann-taylor-nyseann/	Market Updates: JPMorgan Chase (NYSE:JPM), Citigroup (NYSE:C), Potash Corp. of Saskatchewan (NYSE:POT), Ann Taylor (NYSE:ANN)   | Jutia Group	Mar 12, 2010
veryneg:1	neg:0	pos:0	verypos:0	article94	http://www.americanbankingnews.com/2010/03/12/citibank-nyse-c-downgrades-abbot-laboratories-nyse-abt/	Citibank (NYSE: C) Downgrades Abbot Laboratories (NYSE: ABT) - American Banking News	Mar 12, 2010
veryneg:0	neg:2	pos:0	verypos:0	article95	http://www.americanbankingnews.com/2010/03/12/citibank-nyse-c-lowers-price-target-for-national-semiconductor-nyse-nsm/	Citibank (NYSE: C) Lowers Price Target for National Semiconductor (NYSE: NSM) - American Banking News	Mar 12, 2010
veryneg:0	neg:6	pos:4	verypos:0	article96	http://www.thestreet.com/offers/omnisky/html/markets/marketfeatures/10701365.html	TheStreet.com	Mar 12, 2010
veryneg:0	neg:0	pos:0	verypos:0	article97	http://www.istockanalyst.com/article/viewarticle/articleid/3944274	Business Highlights	Mar 11, 2010
veryneg:0	neg:0	pos:0	verypos:0	article98	http://www.tradingmarkets.com/news/press-release/bac_c_sbny_tcbi_wfsl_zacks-analyst-blog-highlights-bank-of-america-corporation-citigroup-inc-washington-federal-texa-840262.html	Zacks Analyst Blog Highlights: Bank of America Corporation, Citigroup Inc., Washington Federal, Texas Capital Bancshares and Sig  | TradingMarkets.com	Mar 11, 2010
veryneg:0	neg:1	pos:0	verypos:0	article99	http://www.istockanalyst.com/article/viewarticle/articleid/3940417	Market Closing Update: Bank Shares Help Stocks Rebound | iStockAnalyst.com	Mar 11, 2010
veryneg:0	neg:1	pos:2	verypos:0	article100	http://www.marketwatch.com/story/us-stocks-up-for-3rd-day-as-banks-rally-2010-03-11?reflink=MW_news_stmp	U.S. stocks up for 3rd day as banks rally - MarketWatch	Mar 11, 2010
veryneg:0	neg:2	pos:5	verypos:0	article101	http://www.marketwatch.com/story/citi-shares-may-snap-winning-streak-2010-03-12	Citi shares may snap winning streak - MarketWatch	Mar 11, 2010
veryneg:0	neg:1	pos:3	verypos:0	article102	http://www.marketwire.com/press-release/Bedfordreportcom-Complimentary-Analyst-Research-on-Financials-Such-As-Citigroup-Inc-1130283.htm	Bedfordreport.com Complimentary Analyst Research on Financials Such As Citigroup, Inc. (NYSE: C), American International Group, Inc. (NYSE: AIG), JPMorgan Chase & Co. (NYSE: JPM), Bank of America Corp. (NYSE: BAC) and Many More	Mar 11, 2010
veryneg:0	neg:8	pos:9	verypos:0	article103	http://www.marketwatch.com/story/us-stocks-decline-on-china-related-fears-2010-03-11?dist=afterbell	U.S. stocks up for third day as banks rally Market Snapshot - MarketWatch	Mar 11, 2010
veryneg:3	neg:1	pos:1	verypos:1	article104	http://www.marketnewsvideo.com/?id=201003Downgrades031010&mv=1	Downgrades:  JCG, CVX, DOW | Market News Video	Mar 10, 2010
veryneg:1	neg:0	pos:0	verypos:0	article105	http://www.americanbankingnews.com/2010/03/10/citibank-nyse-c-raises-price-target-on-j-crew-group-nyse-jcg/	Citibank (NYSE: C) Raises Price Target on J Crew Group (NYSE: JCG) - American Banking News	Mar 10, 2010
veryneg:0	neg:0	pos:0	verypos:0	article106	http://www.hispanicbusiness.com/news/2010/3/10/citigroup_c_to_sell_real_estate.htm	Breaking News and Headline News - HispanicBusiness.com	Mar 10, 2010
veryneg:0	neg:0	pos:0	verypos:0	article107	http://www.businesswire.com/news/home/20100311006157/en	Zacks Analyst Blog Highlights: Bank of America Corporation, Citigroup Inc., Washington Federal, Texas Capital Bancshares and Signature Bank | Business Wire	Mar 10, 2010
